編號,案類,發生日期,發生地點,發生場所一,發生場所二,發生場所三,嫌疑犯人數,毒品品項,數量（淨重）_克
1,毒品,1080401,新北市中和區,公寓(三至五層建築物),    ,    ,1,安非他命,0
2,毒品,1080311,新北市中和區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
3,毒品,1080406,台中市后里區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
3,毒品,1080406,台中市后里區,普通住宅(一、二層樓),    ,    ,1,海洛因,0
4,毒品,1080410,台中市后里區,公路(省、縣、鄉、鎮道,    ,汽車上,1,安非他命,0
4,毒品,1080410,台中市后里區,公路(省、縣、鄉、鎮道,    ,汽車上,1,海洛因,0
5,毒品,1080516,屏東縣潮州鎮,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0
5,毒品,1080516,屏東縣潮州鎮,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
6,毒品,1080204,屏東縣潮州鎮,普通住宅(一、二層樓),    ,    ,1,安非他命,0
7,毒品,1080329,雲林縣麥寮鄉,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
8,毒品,1080514,台中市東勢區,普通住宅(一、二層樓),    ,    ,1,海洛因,0
9,毒品,1080526,彰化縣永靖鄉,普通住宅(一、二層樓),    ,門口(出入口),1,安非他命,0
10,毒品,1080526,彰化縣員林市,網路咖啡館(店),    ,    ,1,安非他命,0
11,毒品,1080305,雲林縣麥寮鄉,普通住宅(一、二層樓),    ,    ,1,海洛因,4.07
11,毒品,1080305,雲林縣麥寮鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0.5
12,毒品,1080305,雲林縣麥寮鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,5.52
12,毒品,1080305,雲林縣麥寮鄉,普通住宅(一、二層樓),    ,    ,1,海洛因,9.17
13,毒品,1080502,台北市大安區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0
13,毒品,1080502,台北市大安區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
14,毒品,1080414,台北市大安區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0
15,毒品,1080222,高雄市大樹區,普通住宅(一、二層樓),    ,    ,1,安非他命,0.4
15,毒品,1080222,高雄市大樹區,普通住宅(一、二層樓),    ,    ,1,海洛因,2.7
15,毒品,1080222,高雄市大樹區,普通住宅(一、二層樓),    ,    ,1,海洛因,0.7
